13:47:31.890 [main] INFO  com.inetBanking.testCases.BaseClass - Password is Entered
13:48:26.240 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
13:48:32.573 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
13:48:35.337 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
13:48:39.141 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
13:52:22.148 [main] INFO  com.inetBanking.testCases.BaseClass - URL is Loaded
13:52:25.161 [main] INFO  com.inetBanking.testCases.BaseClass - userName is Entered
13:52:25.341 [main] INFO  com.inetBanking.testCases.BaseClass - Password is Entered
13:53:08.732 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
13:53:13.649 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
13:53:19.284 [main] WARN  com.inetBanking.testCases.BaseClass - LoginFailed
13:53:34.748 [main] INFO  com.inetBanking.testCases.BaseClass - LoginSucessfully Done
13:54:22.315 [main] INFO  com.inetBanking.testCases.BaseClass - Test Case Passed
